TRIP_ID,TRAVEL_TIME
T1,675.0
T2,675.0
T3,675.0
T4,675.0
T5,675.0
T6,924.0
T7,675.0
T8,924.0
T9,675.0
T10,675.0
T11,675.0
T12,1332.0
T13,1332.0
T14,1332.0
T15,1332.0
T16,1332.0
T17,1332.0
T18,1332.0
T19,675.0
T20,1332.0
T21,675.0
T22,924.0
T23,924.0
T24,675.0
T25,675.0
T26,675.0
T27,675.0
T28,675.0
T29,675.0
T30,675.0
T31,675.0
T32,675.0
T33,1332.0
T34,1332.0
T35,1332.0
T36,1332.0
T37,924.0
T38,675.0
T39,675.0
T40,675.0
T41,675.0
T42,1332.0
T43,1332.0
T44,675.0
T45,675.0
T46,675.0
T47,1332.0
T48,1332.0
T49,675.0
T50,675.0
T51,675.0
T52,675.0
T53,675.0
T54,675.0
T55,675.0
T56,675.0
T57,675.0
T58,675.0
T59,1332.0
T60,924.0
T61,675.0
T62,1332.0
T63,1332.0
T64,924.0
T65,675.0
T66,675.0
T67,675.0
T68,924.0
T69,1332.0
T70,675.0
T71,2097.0
T72,1332.0
T73,675.0
T74,1332.0
T75,511.5
T76,1186.5
T77,511.5
T78,1186.5
T79,1186.5
T80,1186.5
T81,795.0
T82,511.5
T83,795.0
T84,795.0
T85,511.5
T86,795.0
T87,1186.5
T88,1186.5
T90,511.5
T91,795.0
T92,795.0
T93,1186.5
T94,1186.5
T95,795.0
T96,519.0
T98,1372.5
T99,795.0
T100,795.0
T101,795.0
T102,1186.5
T103,511.5
T104,511.5
T107,1186.5
T109,511.5
T110,511.5
T111,795.0
T112,511.5
T113,511.5
T114,511.5
T115,795.0
T116,795.0
T117,795.0
T118,511.5
T119,795.0
T120,795.0
T121,1186.5
T122,511.5
T123,519.0
T124,1186.5
T125,511.5
T126,795.0
T127,795.0
T128,795.0
T129,795.0
T130,511.5
T131,716.0
T132,1186.5
T133,795.0
T134,1186.5
T135,511.5
T136,511.5
T137,511.5
T138,1372.5
T139,1186.5
T140,1186.5
T141,1186.5
T142,511.5
T143,511.5
T144,795.0
T145,795.0
T146,1186.5
T147,511.5
T148,795.0
T149,519.0
T151,795.0
T152,795.0
T153,511.5
T154,1186.5
T155,511.5
T156,511.5
T157,795.0
T158,924.0
T159,1332.0
T160,924.0
T161,1332.0
T162,675.0
T163,675.0
T164,924.0
T166,675.0
T167,675.0
T168,924.0
T169,1332.0
T170,924.0
T171,675.0
T172,924.0
T173,675.0
T174,2097.0
T175,924.0
T176,1332.0
T177,675.0
T178,675.0
T179,675.0
T180,1332.0
T181,675.0
T182,675.0
T183,1332.0
T184,675.0
T185,924.0
T186,924.0
T187,924.0
T188,675.0
T189,675.0
T190,924.0
T191,1332.0
T192,675.0
T193,1332.0
T194,924.0
T195,675.0
T196,675.0
T197,2097.0
T198,924.0
T199,675.0
T200,924.0
T201,1332.0
T202,675.0
T203,1332.0
T204,1332.0
T205,675.0
T206,2097.0
T207,675.0
T208,583.5
T209,924.0
T210,675.0
T211,1332.0
T212,1332.0
T213,675.0
T214,675.0
T215,924.0
T216,924.0
T217,1332.0
T218,675.0
T219,675.0
T220,1332.0
T221,675.0
T222,675.0
T223,924.0
T224,795.0
T225,675.0
T226,675.0
T227,675.0
T228,2097.0
T229,1332.0
T230,1089.0
T231,1332.0
T232,675.0
T233,675.0
T234,1332.0
T235,924.0
T236,474.0
T237,525.0
T238,474.0
T239,525.0
T240,525.0
T241,525.0
T242,525.0
T243,525.0
T244,525.0
T245,525.0
T246,525.0
T247,474.0
T248,525.0
T249,525.0
T250,474.0
T251,700.5
T252,525.0
T253,525.0
T254,474.0
T255,525.0
T256,525.0
T257,474.0
T258,474.0
T259,525.0
T260,700.5
T261,525.0
T262,474.0
T263,525.0
T264,525.0
T265,525.0
T266,525.0
T267,525.0
T268,525.0
T269,525.0
T270,525.0
T271,525.0
T272,525.0
T273,474.0
T274,525.0
T275,525.0
T276,525.0
T277,525.0
T278,525.0
T279,525.0
T280,525.0
T281,474.0
T282,525.0
T283,474.0
T284,474.0
T285,525.0
T286,525.0
T287,525.0
T288,487.5
T289,525.0
T290,525.0
T291,474.0
T292,525.0
T293,700.5
T294,525.0
T295,525.0
T296,525.0
T297,525.0
T298,786.0
T299,684.0
T300,783.0
T301,1285.5
T302,783.0
T303,786.0
T304,783.0
T305,786.0
T306,1285.5
T307,1285.5
T308,1347.0
T309,813.0
T310,783.0
T311,1347.0
T312,783.0
T313,783.0
T314,783.0
T315,783.0
T316,1285.5
T317,783.0
T318,786.0
T319,783.0
T320,666.0
T321,813.0
T322,1285.5
T323,783.0
T324,786.0
T325,1285.5
T326,783.0
T327,783.0
