TRIP_ID,TRAVEL_TIME
T1,712.78186
T2,712.81635
T3,712.6931
T4,712.64624
T5,712.65247
T6,712.3537
T7,712.70575
T8,712.6709
T9,712.4465
T10,712.75574
T11,712.99084
T12,712.3897
T13,712.5651
T14,712.5776
T15,712.5795
T16,712.8685
T17,712.64624
T18,712.9855
T19,713.1321
T20,712.78827
T21,712.41327
T22,712.66644
T23,713.19293
T24,713.2384
T25,712.7154
T26,712.4033
T27,712.7609
T28,712.64606
T29,712.7799
T30,712.7021
T31,712.5377
T32,712.8528
T33,712.7798
T34,712.5832
T35,712.80835
T36,712.4967
T37,712.59436
T38,712.7804
T39,712.4377
T40,713.01074
T41,712.7333
T42,712.8842
T43,712.5404
T44,713.0403
T45,712.7471
T46,712.84656
T47,712.94116
T48,713.1487
T49,712.5695
T50,713.025
T51,712.6958
T52,712.78516
T53,712.8079
T54,712.7728
T55,712.7736
T56,712.80914
T57,712.87195
T58,712.807
T59,712.8993
T60,712.7482
T61,712.7167
T62,712.7787
T63,712.74457
T64,712.9788
T65,712.8602
T66,712.8157
T67,712.298
T68,712.8001
T69,712.53735
T70,712.5249
T71,712.18353
T72,712.8385
T73,712.3924
T74,712.74744
T75,712.4999
T76,712.28564
T77,712.30084
T78,712.2709
T79,712.22595
T80,713.02997
T81,712.4163
T82,712.7434
T83,712.2972
T84,712.33026
T85,712.25885
T86,712.49475
T87,712.2352
T88,712.3725
T90,712.66846
T91,712.6437
T92,712.31836
T93,712.4918
T94,712.5482
T95,712.6009
T96,712.63586
T98,712.24884
T99,712.64764
T100,712.35486
T101,712.3994
T102,712.6139
T103,712.29004
T104,712.3648
T107,712.2467
T109,712.3297
T110,712.38165
T111,712.19257
T112,712.42645
T113,712.31287
T114,712.36
T115,712.56445
T116,712.01154
T117,712.3774
T118,712.62476
T119,712.53503
T120,712.60144
T121,712.172
T122,712.24927
T123,712.36884
T124,712.31323
T125,712.68195
T126,712.596
T127,712.4583
T128,712.6918
T129,712.68195
T130,712.43884
T131,712.05963
T132,712.56854
T133,712.5443
T134,712.2768
T135,712.76636
T136,712.68066
T137,712.44293
T138,712.5707
T139,712.1943
T140,712.3107
T141,712.55725
T142,712.4835
T143,712.7329
T144,712.46826
T145,712.44135
T146,712.83636
T147,712.22876
T148,712.701
T149,712.2567
T151,712.74347
T152,712.3005
T153,712.5873
T154,712.5108
T155,712.5395
T156,712.4383
T157,712.3493
T158,712.307
T159,712.0553
T160,711.9844
T161,712.0952
T162,712.47485
T163,712.1189
T164,712.0157
T166,711.8995
T167,712.2376
T168,712.0011
T169,711.76263
T170,711.93414
T171,711.79346
T172,712.1868
T173,712.01154
T174,712.03876
T175,712.0839
T176,712.39594
T177,711.6934
T178,711.85095
T179,711.90497
T180,712.05585
T181,712.12134
T182,711.66785
T183,712.0501
T184,712.4161
T185,711.96185
T186,711.88965
T187,711.8393
T188,712.0645
T189,711.93634
T190,711.99835
T191,712.04565
T192,712.1539
T193,712.044
T194,712.0342
T195,712.1215
T196,711.68945
T197,712.3392
T198,712.0767
T199,712.42426
T200,712.2339
T201,712.2787
T202,712.0215
T203,712.30963
T204,712.3971
T205,711.9588
T206,712.20056
T207,712.01086
T208,712.34076
T209,712.01624
T210,712.2921
T211,712.02277
T212,712.02985
T213,711.75574
T214,712.1365
T215,712.2235
T216,712.0662
T217,711.972
T218,711.96796
T219,711.58405
T220,711.94763
T221,712.2421
T222,712.09076
T223,712.34955
T224,711.9809
T225,712.1067
T226,711.7563
T227,711.69806
T228,712.2167
T229,711.97687
T230,712.0598
T231,711.69794
T232,712.16327
T233,711.6578
T234,712.01996
T235,712.02045
T236,712.10425
T237,712.16406
T238,711.9276
T239,711.8501
T240,712.35266
T241,711.8543
T242,711.9836
T243,712.3977
T244,712.06866
T245,712.29974
T246,712.0602
T247,712.2075
T248,711.88055
T249,712.05035
T250,711.9005
T251,712.26575
T252,712.0344
T253,712.1919
T254,712.2929
T255,712.4619
T256,712.131
T257,712.1921
T258,712.20734
T259,712.0004
T260,712.29694
T261,712.0824
T262,712.1199
T263,712.122
T264,711.8471
T265,712.017
T266,711.6938
T267,712.0803
T268,711.74915
T269,711.88947
T270,711.7575
T271,712.2933
T272,711.7648
T273,711.8678
T274,712.06055
T275,712.3355
T276,712.09106
T277,712.2122
T278,712.46466
T279,711.9786
T280,712.2298
T281,711.9357
T282,712.3902
T283,711.9369
T284,712.3142
T285,711.8861
T286,711.7949
T287,711.9433
T288,712.05664
T289,712.2619
T290,712.0998
T291,712.31177
T292,711.73145
T293,712.09015
T294,712.17334
T295,712.51495
T296,711.8883
T297,712.5409
T298,712.1775
T299,712.5295
T300,712.5652
T301,712.5768
T302,712.026
T303,712.30865
T304,712.4738
T305,711.88934
T306,712.5511
T307,712.282
T308,711.9167
T309,712.4032
T310,712.066
T311,711.9787
T312,712.18634
T313,712.16254
T314,712.1798
T315,712.4517
T316,712.46
T317,712.0979
T318,712.2884
T319,712.41223
T320,712.121
T321,711.98944
T322,712.18616
T323,712.03033
T324,712.3793
T325,712.02466
T326,712.173
T327,712.62115
